ID,Size,Maze Type,Orientation,Agent Type,Symmetry,Density,Dead Ends,Solution Path Length,Average Episodes
11x11_AB_1,"(11, 11)",AldousBroder,Square,Q-Determinative,0.18,0.6,8,20,55
11x11_AB_1,"(11, 11)",AldousBroder,Square,Q-Student,0.18,0.6,8,20,31
11x11_AB_1,"(11, 11)",AldousBroder,Square,Q-Explorer,0.18,0.6,8,20,159
11x11_AB_2,"(11, 11)",AldousBroder,Square,Q-Determinative,0.23,0.6,9,18,50
11x11_AB_2,"(11, 11)",AldousBroder,Square,Q-Student,0.23,0.6,9,18,26
11x11_AB_2,"(11, 11)",AldousBroder,Square,Q-Explorer,0.23,0.6,9,18,139
11x11_AB_3,"(11, 11)",AldousBroder,Square,Q-Determinative,0.14,0.6,6,6,7
11x11_AB_3,"(11, 11)",AldousBroder,Square,Q-Student,0.14,0.6,6,6,6
11x11_AB_3,"(11, 11)",AldousBroder,Square,Q-Explorer,0.14,0.6,6,6,30
11x11_BT_1,"(11, 11)",BinaryTree,Square,Q-Determinative,0.14,0.59,7,8,11
11x11_BT_1,"(11, 11)",BinaryTree,Square,Q-Student,0.14,0.59,7,8,9
11x11_BT_1,"(11, 11)",BinaryTree,Square,Q-Explorer,0.14,0.59,7,8,43
11x11_BT_2,"(11, 11)",BinaryTree,Square,Q-Determinative,0.18,0.61,10,8,19
11x11_BT_2,"(11, 11)",BinaryTree,Square,Q-Student,0.18,0.61,10,8,8
11x11_BT_2,"(11, 11)",BinaryTree,Square,Q-Explorer,0.18,0.61,10,8,44
11x11_BT_3,"(11, 11)",BinaryTree,Square,Q-Determinative,0.32,0.59,8,12,29
11x11_BT_3,"(11, 11)",BinaryTree,Square,Q-Student,0.32,0.59,8,12,18
11x11_BT_3,"(11, 11)",BinaryTree,Square,Q-Explorer,0.32,0.59,8,12,53
11x11_DFS_1,"(11, 11)",DFS,Square,Q-Determinative,0.23,0.6,5,26,99
11x11_DFS_1,"(11, 11)",DFS,Square,Q-Student,0.23,0.6,5,26,39
11x11_DFS_1,"(11, 11)",DFS,Square,Q-Explorer,0.23,0.6,5,26,191
11x11_DFS_2,"(11, 11)",DFS,Square,Q-Determinative,0.27,0.6,3,24,101
11x11_DFS_2,"(11, 11)",DFS,Square,Q-Student,0.27,0.6,3,24,35
11x11_DFS_2,"(11, 11)",DFS,Square,Q-Explorer,0.27,0.6,3,24,180
11x11_DFS_3,"(11, 11)",DFS,Square,Q-Determinative,0.18,0.6,4,34,124
11x11_DFS_3,"(11, 11)",DFS,Square,Q-Student,0.18,0.6,4,34,49
11x11_DFS_3,"(11, 11)",DFS,Square,Q-Explorer,0.18,0.6,4,34,243
11x13_AB_1,"(11, 13)",AldousBroder,Vertical,Q-Determinative,0.13,0.59,12,10,17
11x13_AB_1,"(11, 13)",AldousBroder,Vertical,Q-Student,0.13,0.59,12,10,12
11x13_AB_1,"(11, 13)",AldousBroder,Vertical,Q-Explorer,0.13,0.59,12,10,59
11x13_AB_2,"(11, 13)",AldousBroder,Vertical,Q-Determinative,0.13,0.59,8,24,80
11x13_AB_2,"(11, 13)",AldousBroder,Vertical,Q-Student,0.13,0.59,8,24,35
