ID,Size,Branching Factor,Density,Symmetry,Dead Ends,Solution Path Length,Average Episodes,Success Rate (%)
11x11_184,"(11, 11)",1.96,0.6,0.45,5,14,24,100.0
11x11_80,"(11, 11)",1.96,0.6,0.45,3,34,88,100.0
11x11_94,"(11, 11)",1.96,0.6,0.45,4,26,72,100.0
11x13_100,"(13, 11)",1.97,0.59,0.43,4,18,40,100.0
11x13_142,"(13, 11)",1.97,0.59,0.43,5,36,104,100.0
11x13_23,"(13, 11)",1.97,0.59,0.5,4,32,100,100.0
11x13_271,"(13, 11)",1.97,0.59,0.41,6,44,148,100.0
11x15_122,"(15, 11)",1.97,0.58,0.44,6,16,28,100.0
11x15_17,"(15, 11)",1.97,0.58,0.27,5,32,64,100.0
11x19_119,"(19, 11)",1.98,0.57,0.25,5,38,118,100.0
11x19_151,"(19, 11)",1.98,0.57,0.28,7,68,502,60.0
11x19_207,"(19, 11)",1.98,0.57,0.33,6,32,94,100.0
11x19_279,"(19, 11)",1.98,0.57,0.29,5,64,281,100.0
11x19_303,"(19, 11)",1.98,0.57,0.3,6,50,172,100.0
11x21_18,"(21, 11)",1.98,0.57,0.35,7,70,463,70.0
11x21_71,"(21, 11)",1.98,0.57,0.26,6,42,139,100.0
11x21_77,"(21, 11)",1.98,0.57,0.21,6,60,254,100.0
11x23_132,"(23, 11)",1.98,0.57,0.31,10,40,136,100.0
11x23_223,"(23, 11)",1.98,0.57,0.24,8,58,270,100.0
11x23_266,"(23, 11)",1.98,0.57,0.22,9,34,111,100.0
11x25_169,"(25, 11)",1.98,0.57,0.21,7,14,17,100.0
11x25_58,"(25, 11)",1.98,0.57,0.3,5,66,355,80.0
11x27_173,"(27, 11)",1.98,0.57,0.2,6,58,245,100.0
11x27_180,"(27, 11)",1.98,0.57,0.26,7,72,469,60.0
11x29_145,"(29, 11)",1.99,0.56,0.23,11,42,135,100.0
11x29_45,"(29, 11)",1.99,0.56,0.28,8,54,221,100.0
11x29_69,"(29, 11)",1.99,0.56,0.21,8,92,2034,10.0
11x29_99,"(29, 11)",1.99,0.56,0.26,8,78,618,30.0
11x31_106,"(31, 11)",1.99,0.56,0.27,7,82,843,30.0
11x31_178,"(31, 11)",1.99,0.56,0.3,8,74,602,60.0
11x31_53,"(31, 11)",1.99,0.56,0.27,11,92,1793,10.0
11x31_93,"(31, 11)",1.99,0.56,0.2,10,48,180,100.0
13x11_129,"(11, 13)",1.97,0.59,0.59,4,26,76,100.0
13x11_218,"(11, 13)",1.97,0.59,0.38,3,46,171,100.0
13x13_101,"(13, 13)",1.97,0.58,0.5,4,34,110,100.0
13x13_135,"(13, 13)",1.97,0.58,0.35,7,32,101,100.0
13x13_308,"(13, 13)",1.97,0.58,0.31,8,20,43,100.0
13x13_48,"(13, 13)",1.97,0.58,0.42,3,44,143,100.0
13x13_79,"(13, 13)",1.97,0.58,0.35,6,34,103,100.0
13x15_15,"(15, 13)",1.98,0.57,0.28,6,20,50,100.0
13x15_264,"(15, 13)",1.98,0.57,0.33,5,38,120,100.0
13x15_290,"(15, 13)",1.98,0.57,0.25,6,46,173,100.0
13x17_102,"(17, 13)",1.98,0.57,0.33,5,60,237,100.0
13x17_195,"(17, 13)",1.98,0.57,0.31,5,64,322,100.0
13x17_229,"(17, 13)",1.98,0.57,0.22,6,56,212,100.0
